Date,Company,CAC40,EuroUSD,Mkt-RF,SMB,HML,RF,oat,infl,pib,Breakeven,rkfreeAAA,value,MarketCap,BookMarket,PriceBook
2002-01-31,air-liquide,20.09136042387589,4513.624556107955,-4.7,2.94,1.83,0.14,5.267368421052631,2.4,,,,4.8832171830264,,,
2002-02-28,air-liquide,16.227485036849977,4340.004541015625,0.41,-0.35,1.74,0.13,5.333,2.2,,,,4.741460490226745,,,
2002-03-31,air-liquide,16.15169134594145,4594.41796875,5.08,-0.41,0.74,0.13,5.4719999999999995,2.2,,,,5.388651061058044,,,
2002-04-30,air-liquide,13.963713212446732,4523.191941034226,-0.32,2.92,4.76,0.15,5.434090909090909,2.1,473460.01,,,5.492722647530692,,,
2002-05-31,air-liquide,11.901041196740191,4369.959539240057,0.43,1.73,4.7,0.14,5.445652173913044,1.6,473460.01,,,5.290580987930298,,,
2002-06-30,air-liquide,10.095286774635316,3939.5235107421877,-2.48,1.12,2.42,0.13,5.3020000000000005,1.4,473460.01,,,5.019377112388611,,,
2002-07-31,air-liquide,6.182912909466287,3471.8700004245925,-10.59,1.76,3.15,0.15,5.244761904761905,1.6,475441.05,,,4.237651192623636,,,
2002-08-31,air-liquide,5.0481815121390605,3383.398193359375,0.14,-2.24,2.11,0.14,5.157272727272727,1.8,475441.05,,,4.214495463804766,,,
2002-09-30,air-liquide,4.744869709014893,3063.5380859375,-13.17,3.0,-1.9,0.14,5.0255,1.8,475441.05,,,3.93608512197222,,,
2002-10-31,air-liquide,4.707004173942234,2967.0804390285325,8.58,-6.73,-0.84,0.14,5.201363636363637,1.9,477769.39,,,3.7783767866051714,,,
2002-11-30,air-liquide,4.947259267171224,3192.3280668712796,4.89,-0.78,2.16,0.12,5.174782608695652,2.1,477769.39,,,4.22608250663394,,,
2002-12-31,air-liquide,5.813082647323609,3126.205517578125,-2.76,3.57,3.24,0.11,5.058571428571429,2.2,477769.39,,,3.8840497612953184,,,
2003-01-31,air-liquide,6.174505949020386,3040.319080699574,-3.45,2.08,2.52,0.1,4.807619047619048,1.9,477725.39,,,3.451641863042658,18790.0,,
2003-02-28,air-liquide,5.225165963172913,2811.077526855469,-3.35,0.33,1.66,0.09,4.782,2.6,477725.39,,,3.5294545888900757,18790.0,,
2003-03-31,air-liquide,4.798816839853923,2692.4857235863096,-1.49,0.82,-0.51,0.1,4.891739130434783,2.5,477725.39,,,3.3837870416187106,18790.0,,
2003-04-30,air-liquide,5.023578381538391,2872.543493652344,13.12,-2.1,0.24,0.1,4.878095238095238,2.0,478192.24,,,3.385087263584137,18790.0,,
2003-05-31,air-liquide,5.403340861910865,2949.5509440104165,7.66,2.71,1.12,0.09,4.6872727272727275,1.8,478192.24,,,3.8116845062800815,18790.0,,
2003-06-30,air-liquide,6.029373350597563,3112.9995233444943,1.17,1.99,0.42,0.1,4.6935,2.0,478192.24,,,4.159862211772373,18790.0,,
2003-07-31,air-liquide,5.888664556586224,3130.0621815557065,1.71,0.9,3.88,0.07,4.888695652173913,2.0,476966.17,,,4.168754225191862,18790.0,,
2003-08-31,air-liquide,5.626357078552246,3240.8061872209823,0.19,3.11,0.01,0.07,4.8933333333333335,2.0,476966.17,,,4.411553496406192,18790.0,,
2003-09-30,air-liquide,5.960112181576815,3328.376808860085,2.8,2.71,0.07,0.08,4.889,2.2,476966.17,,,4.325502699071711,18790.0,,
2003-10-31,air-liquide,6.367059396660847,3314.3121921705165,6.2,-1.2,3.66,0.07,4.936,2.3,481637.41,,,4.2294930375140645,18790.0,,
2003-11-30,air-liquide,7.009093618392944,3403.6914916992187,4.49,0.0,0.41,0.07,4.951904761904761,2.5,481637.41,,,4.476667356491089,18790.0,,
2003-12-31,air-liquide,7.063534350622268,3488.6943010602677,7.32,-2.01,0.49,0.08,4.874736842105263,2.4,481637.41,,,4.58475889478411,18790.0,,
2004-01-31,air-liquide,7.728352001735142,3636.9390578497023,2.47,3.68,2.39,0.07,4.848363636363636,2.2,483636.04,,,6.73301008769444,21490.0,,
2004-02-29,air-liquide,8.0810786485672,3681.3710083007813,3.1,1.06,0.37,0.06,4.853571428571429,1.9,483636.04,,,10.722067594528198,21490.0,,
2004-03-31,air-liquide,8.074760789456574,3655.5026112432065,-3.32,0.88,-0.25,0.09,4.757000000000001,1.9,483636.04,,,10.255014295163361,21490.0,,
2004-04-30,air-liquide,8.09662835597992,3745.1614990234375,-1.23,-0.96,0.86,0.08,4.886380952380953,2.4,488465.25,,,10.490460968017578,21490.0,,
2004-05-31,air-liquide,7.501280625661214,3631.825706845238,1.42,-0.99,-0.84,0.06,4.944681818181818,2.8,488465.25,,,10.422693070911226,21490.0,,
2004-06-30,air-liquide,8.084864919835871,3709.2549937855115,1.99,1.09,0.98,0.08,4.8999999999999995,2.7,488465.25,,,10.703313437375156,21490.0,,
2004-07-31,air-liquide,7.9554549564014785,3630.411798650568,-3.12,0.08,0.45,0.1,4.871818181818181,2.6,491225.03,,,10.956173766743053,21490.0,,
2004-08-31,air-liquide,7.4490883350372314,3568.6045365767045,0.37,-0.46,1.32,0.11,4.754272727272727,2.6,491225.03,,,10.91908970746127,21490.0,,
2004-09-30,air-liquide,7.682330326600508,3678.1504461115055,4.01,0.22,0.74,0.11,4.705125,2.2,491225.03,,2.045378842105263,10.277632626620205,21490.0,,
2004-10-31,air-liquide,7.8900166011991955,3700.5933430989585,4.06,0.04,0.69,0.11,4.646095238095238,2.3,493094.52,,2.0620551904761903,9.986440976460775,21490.0,,
2004-11-30,air-liquide,8.276203979145397,3787.807273171165,6.86,2.09,1.73,0.15,4.5703157894736846,2.2,493094.52,,2.0975558636363636,10.369841749017889,21490.0,,
2004-12-31,air-liquide,8.597260723943295,3796.4256114130435,4.25,0.37,0.72,0.16,4.445083333333334,2.2,493094.52,,2.0968974347826084,10.161256458448326,21490.0,,
2005-01-31,air-liquide,8.886097226824079,3862.9785737537204,-1.25,3.56,1.57,0.16,4.008,1.6,496227.59,,2.056953571428571,10.251641273498535,22490.0,,
2005-02-28,air-liquide,9.060878610610962,3991.245007324219,4.59,0.77,1.04,0.16,4.017842105263158,1.9,496227.59,,2.04921005,11.026934576034545,22490.0,,
2005-03-31,air-liquide,8.750348409016928,4059.5980864025296,-2.57,-0.17,0.24,0.21,4.099600000000001,2.1,496227.59,,2.0542614761904763,11.742347626459031,22490.0,,
2005-04-30,air-liquide,8.731836773100353,4027.657645089286,-2.59,0.54,-0.11,0.21,4.014681818181818,2.0,497533.15,,2.0358724285714285,11.65594736735026,22490.0,,
2005-05-31,air-liquide,9.200789798389781,4049.388172496449,-0.03,-1.66,1.18,0.24,3.8663809523809527,1.7,497533.15,,2.0186473636363633,11.821381785652854,22490.0,,
2005-06-30,air-liquide,9.60599860278043,4193.214621803977,1.53,0.95,1.64,0.23,3.790409090909091,1.8,497533.15,,2.0300038636363635,12.859808531674473,22490.0,,
2005-07-31,air-liquide,10.011663845607213,4359.465750558035,3.82,0.34,1.34,0.24,3.8295217391304344,1.8,498659.79,,2.0427413809523807,13.530826568603516,22490.0,,
2005-08-31,air-liquide,9.846214709074602,4445.039996603261,2.02,2.13,-0.11,0.3,3.762636363636364,2.0,498659.79,,2.0629376521739133,14.231391326240871,22490.0,,
2005-09-30,air-liquide,9.956535426053135,4495.600452769886,1.48,-0.35,0.12,0.29,3.6987272727272726,2.3,498659.79,,2.0391701363636363,13.880282141945578,22490.0,,
2005-10-31,air-liquide,9.956461906433105,4471.411481584822,-3.41,-1.19,0.41,0.27,3.8095682380952383,2.0,502020.42,,2.0613731428571427,13.932181948707218,22490.0,,
2005-11-30,air-liquide,9.722268711436879,4533.925470525568,1.29,-0.29,0.56,0.31,3.8828588636363635,1.8,502020.42,,2.2266986818181818,14.715009255842729,22490.0,,
2005-12-31,air-liquide,9.885875429425921,4700.574800037202,3.8,0.61,0.44,0.32,3.744047619047619,1.8,502020.42,,2.336495333333333,15.176872071765718,22490.0,,
2006-01-31,air-liquide,9.918700434944846,4839.683638139205,6.38,2.24,1.74,0.35,3.7788728,2.2,505212.05,,2.3752251363636363,16.418715737082742,30490.0,,
2006-02-28,air-liquide,9.742204761505127,4976.5565185546875,0.55,2.1,1.45,0.34,3.8548,2.0,505212.05,,2.4442709000000002,16.661212062835695,30490.0,,
2006-03-31,air-liquide,10.503257461216139,5111.913892663043,3.99,0.74,1.71,0.37,3.9799583333333337,1.7,505212.05,,2.548364695652174,16.115333266880203,30490.0,,
2006-04-30,air-liquide,10.822560628255209,5188.574951171875,5.25,1.83,-0.32,0.36,4.1707222222222216,2.0,509010.28,,2.5727209999999996,15.929998079935709,30490.0,,
2006-05-31,air-liquide,10.999413576993076,5073.209983132102,-3.64,-0.95,-0.55,0.43,4.2120476190476195,2.3,509010.28,,2.6535876363636364,16.253226843747225,30490.0,,
2006-06-30,air-liquide,10.803119832819158,4789.185480291193,-0.21,-1.61,-0.51,0.4,4.184458333333333,2.2,509010.28,,2.7569276363636366,15.645120664076371,30490.0,,
2006-07-31,air-liquide,10.376863116309757,4910.610002790178,1.01,-1.8,1.61,0.4,4.196090909090909,2.2,514292.58,,2.857407285714286,15.793916929335822,30490.0,,
2006-08-31,air-liquide,10.462406490160072,5073.341754415761,2.7,-0.27,0.39,0.42,4.105181818181818,2.1,514292.58,,2.991634347826087,16.058707320171855,30490.0,,
2006-09-30,air-liquide,10.843269438970657,5157.8486095610115,0.69,0.08,0.32,0.41,3.978238095238095,1.5,514292.58,,3.118344047619048,17.718145642961776,30490.0,,
2006-10-31,air-liquide,11.378877596421676,5338.785000887784,3.82,0.09,1.5,0.41,4.018272727272727,1.2,515076.48,,3.1868086363636365,18.55499657717618,30490.0,,
2006-11-30,air-liquide,11.674725662578236,5414.504993785511,3.76,2.58,0.34,0.42,3.959772727272727,1.6,515076.48,,3.3051650454545456,19.158454114740547,30490.0,,
