"DATE","TIME PERIOD","Gross domestic product at market prices (MNA.Q.Y.FR.W2.S1.S1.B.B1GQ._Z._Z._Z.XDC.LR.N)"
"1949-03-31","1949Q1","64613.00"
"1949-06-30","1949Q2","65204.00"
"1949-09-30","1949Q3","66203.00"
"1949-12-31","1949Q4","67011.00"
"1950-03-31","1950Q1","68907.00"
"1950-06-30","1950Q2","70641.00"
"1950-09-30","1950Q3","72370.00"
"1950-12-31","1950Q4","74147.00"
"1951-03-31","1951Q1","74195.00"
"1951-06-30","1951Q2","74771.00"
"1951-09-30","1951Q3","75868.00"
"1951-12-31","1951Q4","76608.00"
"1952-03-31","1952Q1","77902.00"
"1952-06-30","1952Q2","77507.00"
"1952-09-30","1952Q3","78237.00"
"1952-12-31","1952Q4","78130.00"
"1953-03-31","1953Q1","79020.00"
"1953-06-30","1953Q2","80311.00"
"1953-09-30","1953Q3","80684.00"
"1953-12-31","1953Q4","81950.00"
"1954-03-31","1954Q1","83153.00"
"1954-06-30","1954Q2","84589.00"
"1954-09-30","1954Q3","85902.00"
"1954-12-31","1954Q4","86555.00"
"1955-03-31","1955Q1","87697.00"
"1955-06-30","1955Q2","88971.00"
"1955-09-30","1955Q3","90294.00"
"1955-12-31","1955Q4","91278.00"
"1956-03-31","1956Q1","91975.00"
"1956-06-30","1956Q2","93524.00"
"1956-09-30","1956Q3","94686.00"
"1956-12-31","1956Q4","96065.00"
"1957-03-31","1957Q1","97857.00"
"1957-06-30","1957Q2","98547.00"
"1957-09-30","1957Q3","100150.00"
"1957-12-31","1957Q4","100419.00"
"1958-03-31","1958Q1","101684.00"
"1958-06-30","1958Q2","102059.00"
"1958-09-30","1958Q3","101844.00"
"1958-12-31","1958Q4","102157.00"
"1959-03-31","1959Q1","102342.00"
"1959-06-30","1959Q2","103613.00"
"1959-09-30","1959Q3","104753.00"
"1959-12-31","1959Q4","107361.00"
"1960-03-31","1960Q1","109631.00"
"1960-06-30","1960Q2","112377.00"
"1960-09-30","1960Q3","114272.00"
"1960-12-31","1960Q4","115484.00"
"1961-03-31","1961Q1","117087.00"
"1961-06-30","1961Q2","117833.00"
"1961-09-30","1961Q3","118947.00"
"1961-12-31","1961Q4","121035.00"
"1962-03-31","1962Q1","123534.00"
"1962-06-30","1962Q2","125407.00"
"1962-09-30","1962Q3","127832.00"
"1962-12-31","1962Q4","129202.00"
"1963-03-31","1963Q1","128484.00"
"1963-06-30","1963Q2","133793.00"
"1963-09-30","1963Q3","138086.00"
"1963-12-31","1963Q4","138138.00"
"1964-03-31","1964Q1","141087.00"
"1964-06-30","1964Q2","142709.00"
"1964-09-30","1964Q3","144026.00"
"1964-12-31","1964Q4","146064.00"
"1965-03-31","1965Q1","146929.00"
"1965-06-30","1965Q2","149422.00"
"1965-09-30","1965Q3","151584.00"
"1965-12-31","1965Q4","153851.00"
"1966-03-31","1966Q1","155281.00"
"1966-06-30","1966Q2","157638.00"
"1966-09-30","1966Q3","159611.00"
"1966-12-31","1966Q4","160759.00"
"1967-03-31","1967Q1","163358.00"
"1967-06-30","1967Q2","165188.00"
"1967-09-30","1967Q3","167210.00"
"1967-12-31","1967Q4","168891.00"
"1968-03-31","1968Q1","173102.00"
"1968-06-30","1968Q2","164395.00"
"1968-09-30","1968Q3","177107.00"
"1968-12-31","1968Q4","179393.00"
"1969-03-31","1969Q1","181172.00"
"1969-06-30","1969Q2","184946.00"
"1969-09-30","1969Q3","187464.00"
"1969-12-31","1969Q4","190293.00"
"1970-03-31","1970Q1","193239.00"
"1970-06-30","1970Q2","196425.00"
"1970-09-30","1970Q3","198435.00"
"1970-12-31","1970Q4","201057.00"
"1971-03-31","1971Q1","204266.00"
"1971-06-30","1971Q2","206415.00"
"1971-09-30","1971Q3","209240.00"
"1971-12-31","1971Q4","211233.00"
"1972-03-31","1972Q1","213576.00"
"1972-06-30","1972Q2","215401.00"
"1972-09-30","1972Q3","218493.00"
"1972-12-31","1972Q4","221923.00"
"1973-03-31","1973Q1","225800.00"
"1973-06-30","1973Q2","229431.00"
"1973-09-30","1973Q3","233036.00"
"1973-12-31","1973Q4","235602.00"
"1974-03-31","1974Q1","239572.00"
"1974-06-30","1974Q2","241254.00"
"1974-09-30","1974Q3","243506.00"
"1974-12-31","1974Q4","239287.00"
"1975-03-31","1975Q1","237727.00"
"1975-06-30","1975Q2","237076.00"
"1975-09-30","1975Q3","237162.00"
"1975-12-31","1975Q4","242059.00"
"1976-03-31","1976Q1","244436.00"
"1976-06-30","1976Q2","247810.00"
"1976-09-30","1976Q3","250549.00"
"1976-12-31","1976Q4","252236.00"
"1977-03-31","1977Q1","255139.00"
"1977-06-30","1977Q2","255962.00"
"1977-09-30","1977Q3","258288.00"
"1977-12-31","1977Q4","260391.00"
"1978-03-31","1978Q1","263824.00"
"1978-06-30","1978Q2","266635.00"
"1978-09-30","1978Q3","268767.00"
"1978-12-31","1978Q4","271679.00"
"1979-03-31","1979Q1","274054.00"
"1979-06-30","1979Q2","275524.00"
"1979-09-30","1979Q3","279153.00"
"1979-12-31","1979Q4","279886.00"
"1980-03-31","1980Q1","294593.76"
"1980-06-30","1980Q2","292293.74"
"1980-09-30","1980Q3","292631.33"
"1980-12-31","1980Q4","292117.56"
"1981-03-31","1981Q1","293113.24"
"1981-06-30","1981Q2","295125.63"
"1981-09-30","1981Q3","297079.15"
"1981-12-31","1981Q4","298807.86"
"1982-03-31","1982Q1","301304.69"
"1982-06-30","1982Q2","303468.28"
"1982-09-30","1982Q3","303334.47"
"1982-12-31","1982Q4","305194.05"
"1983-03-31","1983Q1","306368.63"
"1983-06-30","1983Q2","306451.56"
"1983-09-30","1983Q3","306873.10"
"1983-12-31","1983Q4","308684.23"
"1984-03-31","1984Q1","309923.44"
"1984-06-30","1984Q2","311339.74"
"1984-09-30","1984Q3","313380.95"
"1984-12-31","1984Q4","313124.17"
"1985-03-31","1985Q1","314041.87"
"1985-06-30","1985Q2","316792.45"
"1985-09-30","1985Q3","318466.64"
"1985-12-31","1985Q4","319996.72"
"1986-03-31","1986Q1","321058.13"
"1986-06-30","1986Q2","324488.03"
"1986-09-30","1986Q3","326114.89"
"1986-12-31","1986Q4","326474.13"
"1987-03-31","1987Q1","326859.66"
"1987-06-30","1987Q2","331777.36"
"1987-09-30","1987Q3","333998.90"
"1987-12-31","1987Q4","338943.91"
"1988-03-31","1988Q1","343101.68"
"1988-06-30","1988Q2","345983.93"
"1988-09-30","1988Q3","350390.60"
"1988-12-31","1988Q4","353275.08"
"1989-03-31","1989Q1","357396.14"
"1989-06-30","1989Q2","361748.80"
"1989-09-30","1989Q3","365745.67"
"1989-12-31","1989Q4","370980.13"
"1990-03-31","1990Q1","372059.24"
"1990-06-30","1990Q2","373998.11"
"1990-09-30","1990Q3","376219.85"
"1990-12-31","1990Q4","375588.16"
"1991-03-31","1991Q1","376426.87"
"1991-06-30","1991Q2","377690.56"
"1991-09-30","1991Q3","379015.33"
"1991-12-31","1991Q4","381156.46"
"1992-03-31","1992Q1","384243.52"
"1992-06-30","1992Q2","384775.59"
"1992-09-30","1992Q3","384100.11"
"1992-12-31","1992Q4","383693.34"
"1993-03-31","1993Q1","381280.96"
"1993-06-30","1993Q2","380985.85"
"1993-09-30","1993Q3","381363.08"
"1993-12-31","1993Q4","382643.25"
"1994-03-31","1994Q1","385314.74"
"1994-06-30","1994Q2","389191.36"
"1994-09-30","1994Q3","392644.02"
"1994-12-31","1994Q4","396145.72"
"1995-03-31","1995Q1","397330.22"
"1995-06-30","1995Q2","399827.86"
