"Libellé";"Indice des prix à la consommation harmonisé - Base 2015 - Glissement annuel - Ensemble des ménages - France - Nomenclature Coicop : Ensemble harmonisé";"Codes"
"idBank";"010576187";""
"Dernière mise à jour";"15/11/2023 08:45";""
"Période";"";""
"2023-10";"4.5";"A"
"2023-09";"5.7";"A"
"2023-08";"5.7";"A"
"2023-07";"5.1";"A"
"2023-06";"5.3";"A"
"2023-05";"6.0";"A"
"2023-04";"6.9";"A"
"2023-03";"6.7";"A"
"2023-02";"7.3";"A"
"2023-01";"7.0";"A"
"2022-12";"6.7";"A"
"2022-11";"7.1";"A"
"2022-10";"7.1";"A"
"2022-09";"6.2";"A"
"2022-08";"6.6";"A"
"2022-07";"6.8";"A"
"2022-06";"6.5";"A"
"2022-05";"5.8";"A"
"2022-04";"5.4";"A"
"2022-03";"5.1";"A"
"2022-02";"4.2";"A"
"2022-01";"3.3";"A"
"2021-12";"3.4";"A"
"2021-11";"3.4";"A"
"2021-10";"3.2";"A"
"2021-09";"2.7";"A"
"2021-08";"2.4";"A"
"2021-07";"1.5";"A"
"2021-06";"1.9";"A"
"2021-05";"1.8";"A"
"2021-04";"1.6";"A"
"2021-03";"1.4";"A"
"2021-02";"0.8";"A"
"2021-01";"0.8";"A"
"2020-12";"0.0";"A"
"2020-11";"0.2";"A"
"2020-10";"0.1";"A"
"2020-09";"0.0";"A"
"2020-08";"0.2";"A"
"2020-07";"0.9";"A"
"2020-06";"0.2";"A"
"2020-05";"0.4";"A"
"2020-04";"0.4";"A"
"2020-03";"0.8";"A"
"2020-02";"1.6";"A"
"2020-01";"1.7";"A"
"2019-12";"1.6";"A"
"2019-11";"1.2";"A"
"2019-10";"0.9";"A"
"2019-09";"1.1";"A"
"2019-08";"1.3";"A"
"2019-07";"1.3";"A"
"2019-06";"1.4";"A"
"2019-05";"1.1";"A"
"2019-04";"1.5";"A"
"2019-03";"1.3";"A"
"2019-02";"1.6";"A"
"2019-01";"1.4";"A"
"2018-12";"1.9";"A"
"2018-11";"2.2";"A"
"2018-10";"2.5";"A"
"2018-09";"2.5";"A"
"2018-08";"2.6";"A"
"2018-07";"2.6";"A"
"2018-06";"2.3";"A"
"2018-05";"2.3";"A"
"2018-04";"1.8";"A"
"2018-03";"1.7";"A"
"2018-02";"1.3";"A"
"2018-01";"1.5";"A"
"2017-12";"1.2";"A"
"2017-11";"1.2";"A"
"2017-10";"1.2";"A"
"2017-09";"1.1";"A"
"2017-08";"1.0";"A"
"2017-07";"0.8";"A"
"2017-06";"0.8";"A"
"2017-05";"0.9";"A"
"2017-04";"1.4";"A"
"2017-03";"1.4";"A"
"2017-02";"1.4";"A"
"2017-01";"1.6";"A"
"2016-12";"0.8";"A"
"2016-11";"0.7";"A"
"2016-10";"0.5";"A"
"2016-09";"0.5";"A"
"2016-08";"0.4";"A"
"2016-07";"0.4";"A"
"2016-06";"0.3";"A"
"2016-05";"0.1";"A"
"2016-04";"-0.1";"A"
"2016-03";"-0.1";"A"
"2016-02";"-0.1";"A"
"2016-01";"0.3";"A"
"2015-12";"0.3";"A"
"2015-11";"0.1";"A"
"2015-10";"0.2";"A"
"2015-09";"0.1";"A"
"2015-08";"0.1";"A"
"2015-07";"0.2";"A"
"2015-06";"0.3";"A"
"2015-05";"0.3";"A"
"2015-04";"0.1";"A"
"2015-03";"0.0";"A"
"2015-02";"-0.3";"A"
"2015-01";"-0.4";"A"
"2014-12";"0.1";"A"
