"DATE","TIME PERIOD","Yield curve spot rate, 3-month maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition) (YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3M)"
"2004-09-06","06 Sep 2004","2.034172"
"2004-09-07","07 Sep 2004","2.040893"
"2004-09-08","08 Sep 2004","2.044384"
"2004-09-09","09 Sep 2004","2.037111"
"2004-09-10","10 Sep 2004","2.034645"
"2004-09-13","13 Sep 2004","2.041363"
"2004-09-14","14 Sep 2004","2.037903"
"2004-09-15","15 Sep 2004","2.040883"
"2004-09-16","16 Sep 2004","2.047758"
"2004-09-17","17 Sep 2004","2.050293"
"2004-09-20","20 Sep 2004","2.046296"
"2004-09-21","21 Sep 2004","2.050189"
"2004-09-22","22 Sep 2004","2.052665"
"2004-09-23","23 Sep 2004","2.043347"
"2004-09-24","24 Sep 2004","2.058450"
"2004-09-27","27 Sep 2004","2.055670"
"2004-09-28","28 Sep 2004","2.053061"
"2004-09-29","29 Sep 2004","2.061801"
"2004-09-30","30 Sep 2004","2.031314"
"2004-10-01","01 Oct 2004","2.060936"
"2004-10-04","04 Oct 2004","2.059474"
"2004-10-05","05 Oct 2004","2.058885"
"2004-10-06","06 Oct 2004","2.061839"
"2004-10-07","07 Oct 2004","2.062147"
"2004-10-08","08 Oct 2004","2.044806"
"2004-10-11","11 Oct 2004","2.054990"
"2004-10-12","12 Oct 2004","2.048719"
"2004-10-13","13 Oct 2004","2.058014"
"2004-10-14","14 Oct 2004","2.053923"
"2004-10-15","15 Oct 2004","2.058406"
"2004-10-18","18 Oct 2004","2.054268"
"2004-10-19","19 Oct 2004","2.059367"
"2004-10-20","20 Oct 2004","2.062483"
"2004-10-21","21 Oct 2004","2.065074"
"2004-10-22","22 Oct 2004","2.069744"
"2004-10-25","25 Oct 2004","2.065966"
"2004-10-26","26 Oct 2004","2.071719"
"2004-10-27","27 Oct 2004","2.078820"
"2004-10-28","28 Oct 2004","2.080704"
"2004-10-29","29 Oct 2004","2.072875"
"2004-11-01","01 Nov 2004","2.078214"
"2004-11-02","02 Nov 2004","2.083190"
"2004-11-03","03 Nov 2004","2.040958"
"2004-11-04","04 Nov 2004","2.028328"
"2004-11-05","05 Nov 2004","2.011803"
"2004-11-08","08 Nov 2004","1.990769"
"2004-11-09","09 Nov 2004","2.120021"
"2004-11-10","10 Nov 2004","2.118679"
"2004-11-11","11 Nov 2004","2.128266"
"2004-11-12","12 Nov 2004","2.118056"
"2004-11-15","15 Nov 2004","2.125195"
"2004-11-16","16 Nov 2004","2.120249"
"2004-11-17","17 Nov 2004","2.120818"
"2004-11-18","18 Nov 2004","2.123098"
"2004-11-19","19 Nov 2004","2.124291"
"2004-11-22","22 Nov 2004","2.122902"
"2004-11-23","23 Nov 2004","2.128512"
"2004-11-24","24 Nov 2004","2.125403"
"2004-11-25","25 Nov 2004","2.110507"
"2004-11-26","26 Nov 2004","2.106633"
"2004-11-29","29 Nov 2004","2.114918"
"2004-11-30","30 Nov 2004","2.105419"
